Unit ID,Recommendation,Make,Model,Year,Total_Miles,Total_Revenue,Total_Repair_Cost,Repair_CPM,Net_Exit_Gain,Projected_Net_Value_10Wks,Ownership,Monthly_Payment,Payoff_Balance,Estimated_Market_Value
Truck 0754,"SELL (Low Use, High Value)",Freightliner,TT,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0981,"SELL (Low Use, High Value)",freightliner,TT,2013,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0982,"SELL (Low Use, High Value)",Freightliner,TT,2015,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0262,"SELL (Low Use, High Value)",VOLVO,-,2012,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0023,"SELL (Low Use, High Value)",Freightliner,-,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0489,KEEP (Profitable),Freightliner,Cascadia,2025,14195.0,22100.0,2854.63,0.2011010919337795,57900.0,7769.5949999999975,Operating lease,4590.31,0.0,57900.0
Truck 0558,INSPECT (Review),International,TT,2020,31420.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0439,"SELL (Low Use, High Value)",Freightliner,Cascadia 125,2018,0.0,0.0,0.0,0.0,38900.0,0.0,Owner Operator Owned,0.0,0.0,38900.0
Truck 0986,"SELL (Low Use, High Value)",Freightliner,CASCADIA,1997,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0355,KEEP (Profitable),VOLVO,VNL760,2024,26869.0,30800.0,1849.56,0.06883620529234434,57900.0,16697.94,Operating lease,4901.0,0.0,57900.0
Truck 0842,"SELL (Low Use, High Value)",VOLVO,TT,2016,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0989,"SELL (Low Use, High Value)",volvo,TT,2013,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0991,"SELL (Low Use, High Value)",freightliner,TT,2019,584.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0155,INSPECT (Review),VOLVO,TT,2017,31513.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0218,KEEP (Profitable),Peterbilt,579,2024,13502.0,80600.0,5560.67,0.41184046807880315,169894.0,65269.33,Lease Purchase,3908.0,101.0,169995.0
Truck 0081,KEEP (Profitable),Peterbilt,579,2022,26831.0,12740.0,0.0,0.0,79500.0,6135.0,Financed,2642.0,0.0,79500.0
SPOT-Truck 0121,KEEP (Profitable),Freightliner,Cascadia,2023,31170.0,50500.0,8036.99,0.2578437600256657,98900.0,35232.235,Financed,2892.31,0.0,98900.0
Truck 0436,"SELL (Low Use, High Value)",VOLVO,TT,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0305,"SELL (Low Use, High Value)",Freightliner,Coronado,2003,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0698,"SELL (Low Use, High Value)",Freightliner,Cascadia 125,2014,0.0,0.0,0.0,0.0,16450.0,0.0,Owner operator owned,0.0,0.0,16450.0
Truck 0999,"SELL (Low Use, High Value)",Peterbilt,TT,1990,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0220,"SELL (Low Use, High Value)",Freightliner,Cascadia,2017,0.0,0.0,0.0,0.0,25000.0,0.0,Owner Operator Owned,0.0,0.0,25000.0
Truck 0623,"SELL (Low Use, High Value)",Freightliner,TR,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0281,"SELL (Low Use, High Value)",Freightliner,Cascadia,2016,0.0,0.0,0.0,0.0,22500.0,0.0,Owner Operator Owned,0.0,0.0,22500.0
Truck 0379,"SELL (Low Use, High Value)",Freightliner,Cascadia,2021,21.0,0.0,0.0,0.0,66750.0,0.0,Owner operator owned,0.0,0.0,66750.0
Truck 1003,"SELL (Low Use, High Value)",FREIGHTLINER,CASCADIA,2019,0.0,0.0,0.0,0.0,47225.0,0.0,Owner operator owned,0.0,0.0,47225.0
Truck 1004,"SELL (Low Use, High Value)",kenworth,Construction,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0480,"SELL (Low Use, High Value)",volvo,TR,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0199,"SELL (Low Use, High Value)",Freightliner,TR,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 0048,KEEP (Profitable),Freightliner,Cascadia,2024,23934.0,66300.0,3637.21,0.1519683295729924,139799.0,52642.79,Lease Purchase,4008.0,101.0,139900.0
Truck 0610,"SELL (Low Use, High Value)",VOLVO,TT,2016,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1009,"SELL (Low Use, High Value)",VOLVO,TR,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0936,"SELL (Low Use, High Value)",Kenworth,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0569,KEEP (Profitable),Peterbilt,579,2025,12850.0,11700.0,0.0,0.0,110000.0,2762.5,Lease Purchase,3575.0,25000.0,135000.0
Truck 0258,INSPECT (Review),Freightliner,Cascadia,2018,32835.0,0.0,0.0,0.0,38900.0,0.0,Owner Operator Owned,0.0,0.0,38900.0
Truck 0983,"SELL (Low Use, High Value)",Freightliner,Cascadia,2017,0.0,0.0,0.0,0.0,25000.0,0.0,Owner operator owned,0.0,0.0,25000.0
Truck 0710,"SELL (Low Use, High Value)",INTERNATIONAL,TR,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0573,INSPECT (Review),International,TT,2021,21718.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 1016,"SELL (Low Use, High Value)",freightliner,Cascadia 126,2019,0.0,0.0,0.0,0.0,47225.0,0.0,Owner operator owned,0.0,0.0,47225.0
Truck 1019,"SELL (Low Use, High Value)",Freightliner,TT,2012,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0204,"SELL (Low Use, High Value)",Kenworth,Con,2015,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0075,"SELL (Low Use, High Value)",Freightliner,Cascadia,2023,0.0,0.0,0.0,0.0,98900.0,0.0,Owner Operator Owned,0.0,0.0,98900.0
Truck 0690,"SELL (Low Use, High Value)",KENWORTH,TT,2016,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1025,"SELL (Low Use, High Value)",PETERBILT,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1017,"SELL (Low Use, High Value)",freightliner,PT1,2021,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0844,INSPECT (Review),Freightliner,Cascadia,2019,4025.0,0.0,0.0,0.0,47225.0,0.0,Owner operator owned,0.0,0.0,47225.0
Truck 0011,INSPECT (Review),FREIGHTLINER,CASCADIA,2016,32576.0,0.0,0.0,0.0,22500.0,0.0,Owner operator owned,0.0,0.0,22500.0
Truck 0299,INSPECT (Review),freightliner,TT,2018,32564.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0375,KEEP (Profitable),International,LT625,2024,28913.0,75400.0,5958.8,0.20609414450247293,23900.0,60141.2,Lease Purchase,3720.0,34000.0,57900.0
Truck 0867,"SELL (Low Use, High Value)",Freightliner,CASCADIA,2020,0.0,0.0,0.0,0.0,54900.0,0.0,Owner Operator Owned,0.0,0.0,54900.0
Truck 0534,"SELL (Low Use, High Value)",INTERNATIONAL,LT625,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0662,"SELL (Low Use, High Value)",VOLVO,TR,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0552,"SELL (Low Use, High Value)",KENWORTH,TT,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
SPOT-Truck 1031,"SELL (Low Use, High Value)",International,LT 626,2022,0.0,0.0,0.0,0.0,60500.0,-9836.375,FMV lease,3934.55,0.0,60500.0
Truck 0781,INSPECT (Review),FREIGHTLINER,Cascadia,2021,12824.0,0.0,0.0,0.0,66750.0,0.0,Owner operator owned,0.0,0.0,66750.0
Truck 1033,"SELL (Low Use, High Value)",Freightliner,TT,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0676,"SELL (Low Use, High Value)",Freightliner,TT,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0787,"SELL (Low Use, High Value)",freightliner,TT,2017,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0397,KEEP (Profitable),Freightliner,Cascadia,2023,28847.0,33800.0,3276.15,0.11356986861718724,98900.0,21682.85,Financed,3536.4,0.0,98900.0
SPOT-Truck 0100,KEEP (Profitable),Freightliner,Cascadia,2023,33283.0,40300.0,10059.92,0.3022540035453535,98900.0,23650.08,Financed,2636.0,0.0,98900.0
Truck 0284,"SELL (Low Use, High Value)",VOLVO,TT,2015,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0143,"SELL (Low Use, High Value)",Freightliner,TT,2003,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 1040,"SELL (Low Use, High Value)",kenworth,tt,2007,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 1042,"SELL (Low Use, High Value)",freightliner,TT,2012,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0894,"SELL (Low Use, High Value)",Freightliner,CASCADIA,2015,0.0,0.0,0.0,0.0,25250.0,0.0,Owner Operator Owned,0.0,0.0,25250.0
Truck 0566,"SELL (Low Use, High Value)",VOLVO,TR,2007,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 1045,"SELL (Low Use, High Value)",kenworth,TT,2019,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0303,KEEP (Profitable),Peterbilt,579,2024,21613.0,73400.0,10796.11,0.4995192708092352,169894.0,53441.39,Lease Purchase,3665.0,101.0,169995.0
Truck 0188,INSPECT (Review),International,TT,2019,28394.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0190,KEEP (Profitable),Freightliner,Cascadia,2023,21851.0,48200.0,12345.18,0.5649709395451009,98900.0,29299.12,Financed,2622.28,0.0,98900.0
SPOT-Truck 0238,"SELL (Low Use, High Value)",Freightliner,Cascadia,2020,0.0,1300.0,0.0,0.0,54900.0,-9320.0,Rental,3728.0,0.0,54900.0
Truck 0090,"SELL (Low Use, High Value)",Volvo,-,2007,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0520,"SELL (Low Use, High Value)",KENWORTH,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0769,"SELL (Low Use, High Value)",INTERNATIONAL,TR,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0775,"SELL (Low Use, High Value)",Freightliner,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
